CUI1,CUI2
C0035204,C0002390
C0035204,C0013990
C0035204,C0345967
C0035204,C0032231
C0035204,C0032285
C0035204,C0159057
C0035204,C0264222
C0035204,C0031345
C0035204,C0155886
C0035204,C0155914
C0035204,C0034076
C0035204,C0340208
C0035204,C0029581
C0035204,C0348712
C0035204,C0041912
C0035204,C0264573
C0035204,C0004096
C0035204,C0010380
C0035204,C0521647
C0035204,C3203358
C0035204,C0231926
C0035204,C0856719
C0035204,C0236163
C0035204,C0027430
C0035204,C0020440
C0035204,C0035228
C0035204,C0020578
C0035204,C0677600
C0035204,C0235564
C0035204,C0235566
C0035204,C0235567
C0035204,C0035238
C0035204,C0264220
C0035204,C2607914
C0035204,C0231835
C0035204,C0235882
C0035204,C0235896
C0035204,C0235906
C0035204,C0235915
C0035204,C0235932
C0035204,C0236072
C0035204,C0549143
C0035204,C0152029
C0035204,C0740253
C0035204,C0702198
C0035204,C0153952
C0035204,C0730032
C0035204,C2720436
C0035204,C1261120
C0035204,C0012669
C0035204,C0029579
C0035204,C0877774
C0035204,C0235553
C0035204,C0149516
C0035204,C0155840
C0035204,C0008711
C0035204,C0155826
C0035204,C0476271
C0035204,C0751576
C0035204,C0038410
C0035204,C0869452
C0035204,C0869453
C0035204,C0003578
C0035204,C0008039
C0035204,C0242184
C0035204,C0018621
C0035204,C0034063
C0035204,C0034068
C0035204,C0034069
C0035204,C0235777
C0035204,C0035457
C0035204,C0264268
C0035204,C0235552
C0035204,C0595989
C0035204,C0679384
C0035204,C0155919
C0035204,C0235532
C0035204,C0519060
C0035204,C0013404
C0035204,C0553668
C0035204,C0553677
C0035204,C0159053
C0035204,C0700292
C0035204,C0008033
C0035204,C0155907
C0035204,C0155905
C0035204,C0948187
C0035204,C0158940
C0035204,C1268764
C0035204,C1521864
C0035204,C0475765
C0035204,C0425492
C0035204,C0035203
C0035204,C0206061
C0035204,C0032226
C0035204,C0042928
C0035204,C0006285
C0035204,C0235063
C0035204,C0236071
C0035204,C0004048
C0035204,C0403529
C0035204,C0086523
C0035204,C0024115
C0035204,C0032227
C0035204,C0032326
C0035204,C0011917
C0035204,C0012634
C0035204,C0155862
C0035204,C0221360
C0035204,C0034642
C0155877,C0004096
C0155877,C0004096
C0155877,C0155880
C0155877,C0259745
C0155877,C0264409
C0155877,C0035242
C0155877,C0264411
C0155877,C0264408
C0155877,C1827849
C0155877,C0155878
C1319018,C0006277
C1319018,C0004096
C1319018,C0006271
C1319018,C1260881
C1319018,C0004096
C0004099,C0004096
C0004099,C0004096
C1840085,C0004096
C1840085,C1869116
C1869116,C0004096
C1869116,C1840085
C1869116,C0155886
C1969640,C0004096
C0005587,C0236773
C0005587,C0154424
C0005587,C0154425
C0005587,C0154426
C0005587,C0154427
C0005587,C0154428
C0005587,C0154429
C0005587,C0853193
C0005587,C2937260
C0005587,C0011573
C0005587,C1171527
C0005587,C0005587
C0005587,C0024713
C0005587,C2700438
C0005587,C2700439
C0005587,C2700440
C0005587,C0270458
C0005587,C0005586
C0024713,C0525045
C0024713,C0001723
C0024713,C0241934
C0024713,C0236756
C0024713,C0338832
C0024713,C0154417
C0024713,C0154418
C0024713,C0154419
C0024713,C0154420
C0024713,C0154421
C0024713,C0154422
C0024713,C0678190
C0024713,C1387087
C0024713,C0683410
C0024713,C0338831
C0024713,C0005587
C0024713,C0024713
C0024713,C0005586
C1269683,C0349217
C1269683,C0520665
C1269683,C0221480
C1269683,C0270458
C1269683,C0235136
C1269683,C0233477
C1269683,C0011579
C1269683,C0150041
C1269683,C0012706
C1269683,C0154409
C1269683,C0033975
C1269683,C0344315
C1269683,C0522168
C1269683,C0011573
C1269683,C0025193
C1269683,C0029516
C1269683,C0011581
C1269683,C0001723
C1269683,C0013806
C1269683,C0221074
C1269683,C0525045
C1269683,C0033797
C1269683,C0005586
C1269683,C0085159
